sPacketNo	sPacketTime	sPacketTimeDouble	packetRate	packetSize
0	1463670208501053	0.000001	50	2048
1	1463670208521168	0.020116	50	2048
2	1463670208541256	0.040204	50	2048
3	1463670208561163	0.060111	50	2048
4	1463670208581167	0.080115	50	2048
5	1463670208601198	0.100146	50	2048
6	1463670208621132	0.120080	50	2048
7	1463670208641188	0.140136	50	2048
8	1463670208661222	0.160170	50	2048
9	1463670208681151	0.180099	50	2048
10	1463670208701174	0.200122	50	2048
11	1463670208721163	0.220111	50	2048
12	1463670208741224	0.240172	50	2048
13	1463670208761163	0.260111	50	2048
14	1463670208781158	0.280106	50	2048
15	1463670208801175	0.300123	50	2048
16	1463670208821190	0.320138	50	2048
17	1463670208841166	0.340114	50	2048
18	1463670208861217	0.360165	50	2048
19	1463670208881149	0.380097	50	2048
20	1463670208901226	0.400174	50	2048
21	1463670208921151	0.420099	50	2048
22	1463670208941150	0.440098	50	2048
23	1463670208961168	0.460116	50	2048
24	1463670208981175	0.480123	50	2048
25	1463670209001160	0.500108	50	2048
26	1463670209021170	0.520118	50	2048
27	1463670209041164	0.540112	50	2048
28	1463670209061222	0.560170	50	2048
29	1463670209081160	0.580108	50	2048
30	1463670209101187	0.600135	50	2048
31	1463670209121165	0.620113	50	2048
32	1463670209141223	0.640171	50	2048
33	1463670209161177	0.660125	50	2048
34	1463670209181144	0.680092	50	2048
35	1463670209201173	0.700121	50	2048
36	1463670209221223	0.720171	50	2048
37	1463670209241153	0.740101	50	2048
38	1463670209261227	0.760175	50	2048
39	1463670209281148	0.780096	50	2048
40	1463670209301222	0.800170	50	2048
41	1463670209321153	0.820101	50	2048
42	1463670209341219	0.840167	50	2048
43	1463670209361150	0.860098	50	2048
44	1463670209381211	0.880159	50	2048
45	1463670209401185	0.900133	50	2048
46	1463670209421154	0.920102	50	2048
47	1463670209441182	0.940130	50	2048
48	1463670209461228	0.960176	50	2048
49	1463670209481148	0.980096	50	2048
50	1463670209501176	1.000124	50	2048
51	1463670209521156	1.020104	50	2048
52	1463670209541224	1.040172	50	2048
53	1463670209561162	1.060110	50	2048
54	1463670209581145	1.080093	50	2048
55	1463670209601161	1.100109	50	2048
56	1463670209621144	1.120092	50	2048
57	1463670209641169	1.140117	50	2048
58	1463670209661185	1.160133	50	2048
59	1463670209681163	1.180111	50	2048
60	1463670209701169	1.200117	50	2048
61	1463670209721142	1.220090	50	2048
62	1463670209741179	1.240127	50	2048
63	1463670209761154	1.260102	50	2048
64	1463670209781149	1.280097	50	2048
65	1463670209801166	1.300114	50	2048
66	1463670209821181	1.320129	50	2048
67	1463670209841165	1.340113	50	2048
68	1463670209861145	1.360093	50	2048
69	1463670209881145	1.380093	50	2048
70	1463670209901152	1.400100	50	2048
71	1463670209921166	1.420114	50	2048
72	1463670209941210	1.440158	50	2048
73	1463670209961199	1.460147	50	2048
74	1463670209981151	1.480099	50	2048
75	1463670210001151	1.500099	50	2048
76	1463670210021173	1.520121	50	2048
77	1463670210041219	1.540167	50	2048
78	1463670210061188	1.560136	50	2048
79	1463670210081200	1.580148	50	2048
80	1463670210101154	1.600102	50	2048
81	1463670210121184	1.620132	50	2048
82	1463670210141223	1.640171	50	2048
83	1463670210161197	1.660145	50	2048
84	1463670210181166	1.680114	50	2048
85	1463670210201201	1.700149	50	2048
86	1463670210221170	1.720118	50	2048
87	1463670210241203	1.740151	50	2048
88	1463670210261216	1.760164	50	2048
89	1463670210281186	1.780134	50	2048
90	1463670210301190	1.800138	50	2048
91	1463670210321297	1.820245	50	2048
92	1463670210341224	1.840172	50	2048
93	1463670210361161	1.860109	50	2048
94	1463670210381184	1.880132	50	2048
95	1463670210401165	1.900113	50	2048
96	1463670210426388	1.925336	50	2048
97	1463670210441147	1.940095	50	2048
98	1463670210461176	1.960124	50	2048
99	1463670210481171	1.980119	50	2048
100	1463670210501158	2.000106	50	2048
101	1463670210521155	2.020103	50	2048
102	1463670210541194	2.040142	50	2048
103	1463670210561157	2.060105	50	2048
104	1463670210581170	2.080118	50	2048
105	1463670210601172	2.100120	50	2048
106	1463670210621161	2.120109	50	2048
107	1463670210641148	2.140096	50	2048
108	1463670210661152	2.160100	50	2048
109	1463670210681166	2.180114	50	2048
110	1463670210701198	2.200146	50	2048
111	1463670210721168	2.220116	50	2048
112	1463670210741173	2.240121	50	2048
113	1463670210761189	2.260137	50	2048
114	1463670210781162	2.280110	50	2048
115	1463670210801163	2.300111	50	2048
116	1463670210821165	2.320113	50	2048
117	1463670210841162	2.340110	50	2048
118	1463670210861184	2.360132	50	2048
119	1463670210881150	2.380098	50	2048
120	1463670210901176	2.400124	50	2048
121	1463670210921138	2.420086	50	2048
122	1463670210941188	2.440136	50	2048
123	1463670210961166	2.460114	50	2048
124	1463670210981220	2.480168	50	2048
125	1463670211001167	2.500115	50	2048
126	1463670211021172	2.520120	50	2048
127	1463670211041161	2.540109	50	2048
128	1463670211061163	2.560111	50	2048
129	1463670211081148	2.580096	50	2048
130	1463670211101224	2.600172	50	2048
131	1463670211121166	2.620114	50	2048
132	1463670211141225	2.640173	50	2048
133	1463670211161200	2.660148	50	2048
134	1463670211181166	2.680114	50	2048
135	1463670211201167	2.700115	50	2048
136	1463670211221169	2.720117	50	2048
137	1463670211241161	2.740109	50	2048
138	1463670211261170	2.760118	50	2048
139	1463670211281173	2.780121	50	2048
140	1463670211301176	2.800124	50	2048
141	1463670211321165	2.820113	50	2048
142	1463670211341218	2.840166	50	2048
143	1463670211361171	2.860119	50	2048
144	1463670211381189	2.880137	50	2048
145	1463670211401165	2.900113	50	2048
146	1463670211421143	2.920091	50	2048
147	1463670211441171	2.940119	50	2048
148	1463670211461196	2.960144	50	2048
149	1463670211481147	2.980095	50	2048
150	1463670211501230	3.000178	50	2048
151	1463670211521165	3.020113	50	2048
152	1463670211541170	3.040118	50	2048
153	1463670211561163	3.060111	50	2048
154	1463670211581169	3.080117	50	2048
155	1463670211601161	3.100109	50	2048
156	1463670211621222	3.120170	50	2048
157	1463670211641165	3.140113	50	2048
158	1463670211661177	3.160125	50	2048
159	1463670211681148	3.180096	50	2048
160	1463670211701169	3.200117	50	2048
161	1463670211721163	3.220111	50	2048
162	1463670211741169	3.240117	50	2048
163	1463670211761164	3.260112	50	2048
164	1463670211781160	3.280108	50	2048
165	1463670211801166	3.300114	50	2048
166	1463670211821200	3.320148	50	2048
167	1463670211841168	3.340116	50	2048
168	1463670211861170	3.360118	50	2048
169	1463670211881160	3.380108	50	2048
170	1463670211901143	3.400091	50	2048
171	1463670211921148	3.420096	50	2048
172	1463670211941140	3.440088	50	2048
173	1463670211961153	3.460101	50	2048
174	1463670211981159	3.480107	50	2048
175	1463670212001152	3.500100	50	2048
176	1463670212021177	3.520125	50	2048
177	1463670212041140	3.540088	50	2048
178	1463670212061168	3.560116	50	2048
179	1463670212081142	3.580090	50	2048
180	1463670212101169	3.600117	50	2048
181	1463670212121143	3.620091	50	2048
182	1463670212141175	3.640123	50	2048
183	1463670212161161	3.660109	50	2048
184	1463670212181140	3.680088	50	2048
185	1463670212201160	3.700108	50	2048
186	1463670212221183	3.720131	50	2048
187	1463670212241162	3.740110	50	2048
188	1463670212261158	3.760106	50	2048
189	1463670212281144	3.780092	50	2048
190	1463670212301190	3.800138	50	2048
191	1463670212321140	3.820088	50	2048
192	1463670212341187	3.840135	50	2048
193	1463670212361167	3.860115	50	2048
194	1463670212381170	3.880118	50	2048
195	1463670212401144	3.900092	50	2048
196	1463670212421159	3.920107	50	2048
197	1463670212441170	3.940118	50	2048
198	1463670212461190	3.960138	50	2048
199	1463670212481149	3.980097	50	2048
200	1463670212501171	4.000119	50	2048
201	1463670212521159	4.020107	50	2048
202	1463670212541141	4.040089	50	2048
203	1463670212561175	4.060123	50	2048
204	1463670212581164	4.080112	50	2048
205	1463670212601161	4.100109	50	2048
206	1463670212621185	4.120133	50	2048
207	1463670212641166	4.140114	50	2048
208	1463670212661164	4.160112	50	2048
209	1463670212681157	4.180105	50	2048
210	1463670212701164	4.200112	50	2048
211	1463670212721163	4.220111	50	2048
212	1463670212741155	4.240103	50	2048
213	1463670212761171	4.260119	50	2048
214	1463670212781141	4.280089	50	2048
215	1463670212801159	4.300107	50	2048
216	1463670212821161	4.320109	50	2048
217	1463670212841211	4.340159	50	2048
218	1463670212861177	4.360125	50	2048
219	1463670212881176	4.380124	50	2048
220	1463670212901172	4.400120	50	2048
221	1463670212921156	4.420104	50	2048
222	1463670212941176	4.440124	50	2048
223	1463670212961161	4.460109	50	2048
224	1463670212981183	4.480131	50	2048
225	1463670213001161	4.500109	50	2048
226	1463670213021221	4.520169	50	2048
227	1463670213041167	4.540115	50	2048
228	1463670213061152	4.560100	50	2048
229	1463670213081158	4.580106	50	2048
230	1463670213101152	4.600100	50	2048
231	1463670213121153	4.620101	50	2048
232	1463670213141156	4.640104	50	2048
233	1463670213161143	4.660091	50	2048
234	1463670213181181	4.680129	50	2048
235	1463670213201162	4.700110	50	2048
236	1463670213221181	4.720129	50	2048
237	1463670213241162	4.740110	50	2048
238	1463670213261182	4.760130	50	2048
239	1463670213281177	4.780125	50	2048
240	1463670213301172	4.800120	50	2048
241	1463670213321145	4.820093	50	2048
242	1463670213341178	4.840126	50	2048
243	1463670213361153	4.860101	50	2048
244	1463670213381159	4.880107	50	2048
245	1463670213401163	4.900111	50	2048
246	1463670213421146	4.920094	50	2048
247	1463670213441153	4.940101	50	2048
248	1463670213461169	4.960117	50	2048
249	1463670213481174	4.980122	50	2048
250	1463670213501170	5.000118	50	2048
251	1463670213521155	5.020103	50	2048
252	1463670213541290	5.040238	50	2048
253	1463670213561147	5.060095	50	2048
254	1463670213581183	5.080131	50	2048
255	1463670213601161	5.100109	50	2048
256	1463670213621185	5.120133	50	2048
257	1463670213641157	5.140105	50	2048
258	1463670213661164	5.160112	50	2048
259	1463670213681466	5.180414	50	2048
260	1463670213701204	5.200152	50	2048
261	1463670213721167	5.220115	50	2048
262	1463670213741180	5.240128	50	2048
263	1463670213761171	5.260119	50	2048
264	1463670213781184	5.280132	50	2048
265	1463670213801167	5.300115	50	2048
266	1463670213821152	5.320100	50	2048
267	1463670213841150	5.340098	50	2048
268	1463670213861226	5.360174	50	2048
269	1463670213881150	5.380098	50	2048
270	1463670213901177	5.400125	50	2048
271	1463670213921148	5.420096	50	2048
272	1463670213941194	5.440142	50	2048
273	1463670213961164	5.460112	50	2048
274	1463670213981169	5.480117	50	2048
275	1463670214001161	5.500109	50	2048
276	1463670214021212	5.520160	50	2048
277	1463670214041165	5.540113	50	2048
278	1463670214061165	5.560113	50	2048
279	1463670214081148	5.580096	50	2048
280	1463670214101179	5.600127	50	2048
281	1463670214121162	5.620110	50	2048
282	1463670214141143	5.640091	50	2048
283	1463670214161163	5.660111	50	2048
284	1463670214181113	5.680061	50	2048
285	1463670214201161	5.700109	50	2048
286	1463670214221142	5.720090	50	2048
287	1463670214241154	5.740102	50	2048
288	1463670214261166	5.760114	50	2048
289	1463670214281172	5.780120	50	2048
290	1463670214301176	5.800124	50	2048
291	1463670214321158	5.820106	50	2048
292	1463670214341171	5.840119	50	2048
293	1463670214361158	5.860106	50	2048
294	1463670214381174	5.880122	50	2048
295	1463670214401162	5.900110	50	2048
296	1463670214421147	5.920095	50	2048
297	1463670214441148	5.940096	50	2048
298	1463670214461228	5.960176	50	2048
299	1463670214481184	5.980132	50	2048
300	1463670214501191	6.000139	50	2048
301	1463670214521156	6.020104	50	2048
302	1463670214541166	6.040114	50	2048
303	1463670214561155	6.060103	50	2048
304	1463670214581199	6.080147	50	2048
305	1463670214601161	6.100109	50	2048
306	1463670214621171	6.120119	50	2048
307	1463670214641154	6.140102	50	2048
308	1463670214661189	6.160137	50	2048
309	1463670214681141	6.180089	50	2048
310	1463670214701151	6.200099	50	2048
311	1463670214721164	6.220112	50	2048
312	1463670214741158	6.240106	50	2048
313	1463670214761157	6.260105	50	2048
314	1463670214781188	6.280136	50	2048
315	1463670214801159	6.300107	50	2048
316	1463670214821225	6.320173	50	2048
317	1463670214841167	6.340115	50	2048
318	1463670214861182	6.360130	50	2048
319	1463670214881151	6.380099	50	2048
320	1463670214901176	6.400124	50	2048
321	1463670214921167	6.420115	50	2048
322	1463670214941181	6.440129	50	2048
323	1463670214961162	6.460110	50	2048
324	1463670214981142	6.480090	50	2048
325	1463670215001192	6.500140	50	2048
326	1463670215021142	6.520090	50	2048
327	1463670215041149	6.540097	50	2048
328	1463670215061164	6.560112	50	2048
329	1463670215081129	6.580077	50	2048
330	1463670215101220	6.600168	50	2048
331	1463670215121168	6.620116	50	2048
332	1463670215141158	6.640106	50	2048
333	1463670215161140	6.660088	50	2048
334	1463670215181188	6.680136	50	2048
335	1463670215201167	6.700115	50	2048
336	1463670215221157	6.720105	50	2048
337	1463670215241128	6.740076	50	2048
338	1463670215261220	6.760168	50	2048
339	1463670215281149	6.780097	50	2048
340	1463670215301181	6.800129	50	2048
341	1463670215321166	6.820114	50	2048
342	1463670215341167	6.840115	50	2048
343	1463670215361170	6.860118	50	2048
344	1463670215381170	6.880118	50	2048
345	1463670215401158	6.900106	50	2048
346	1463670215421133	6.920081	50	2048
347	1463670215441138	6.940086	50	2048
348	1463670215461182	6.960130	50	2048
349	1463670215481172	6.980120	50	2048
350	1463670215501203	7.000151	50	2048
351	1463670215521166	7.020114	50	2048
352	1463670215541165	7.040113	50	2048
353	1463670215561168	7.060116	50	2048
354	1463670215581161	7.080109	50	2048
355	1463670215601160	7.100108	50	2048
356	1463670215621145	7.120093	50	2048
357	1463670215641138	7.140086	50	2048
358	1463670215661154	7.160102	50	2048
359	1463670215681144	7.180092	50	2048
360	1463670215701156	7.200104	50	2048
361	1463670215721169	7.220117	50	2048
362	1463670215741223	7.240171	50	2048
363	1463670215761149	7.260097	50	2048
364	1463670215781171	7.280119	50	2048
365	1463670215801162	7.300110	50	2048
366	1463670215821185	7.320133	50	2048
367	1463670215841153	7.340101	50	2048
368	1463670215861223	7.360171	50	2048
369	1463670215881178	7.380126	50	2048
370	1463670215901188	7.400136	50	2048
371	1463670215921150	7.420098	50	2048
372	1463670215941169	7.440117	50	2048
373	1463670215961158	7.460106	50	2048
374	1463670215981142	7.480090	50	2048
375	1463670216001168	7.500116	50	2048
376	1463670216021150	7.520098	50	2048
377	1463670216041170	7.540118	50	2048
378	1463670216061170	7.560118	50	2048
379	1463670216081144	7.580092	50	2048
380	1463670216101174	7.600122	50	2048
381	1463670216121167	7.620115	50	2048
382	1463670216141224	7.640172	50	2048
383	1463670216161170	7.660118	50	2048
384	1463670216181188	7.680136	50	2048
385	1463670216201167	7.700115	50	2048
386	1463670216221184	7.720132	50	2048
387	1463670216241162	7.740110	50	2048
388	1463670216261189	7.760137	50	2048
389	1463670216281149	7.780097	50	2048
390	1463670216301185	7.800133	50	2048
391	1463670216321150	7.820098	50	2048
392	1463670216341162	7.840110	50	2048
393	1463670216361186	7.860134	50	2048
394	1463670216381177	7.880125	50	2048
395	1463670216401183	7.900131	50	2048
396	1463670216421146	7.920094	50	2048
397	1463670216441153	7.940101	50	2048
398	1463670216461190	7.960138	50	2048
399	1463670216481141	7.980089	50	2048
400	1463670216501188	8.000136	50	2048
401	1463670216521149	8.020097	50	2048
402	1463670216541225	8.040173	50	2048
403	1463670216561167	8.060115	50	2048
404	1463670216581144	8.080092	50	2048
405	1463670216601156	8.100104	50	2048
406	1463670216621191	8.120139	50	2048
407	1463670216641151	8.140099	50	2048
408	1463670216661180	8.160128	50	2048
409	1463670216681156	8.180104	50	2048
410	1463670216701149	8.200097	50	2048
411	1463670216721155	8.220103	50	2048
412	1463670216741160	8.240108	50	2048
413	1463670216761151	8.260099	50	2048
414	1463670216781185	8.280133	50	2048
415	1463670216801150	8.300098	50	2048
416	1463670216821143	8.320091	50	2048
417	1463670216841148	8.340096	50	2048
418	1463670216861219	8.360167	50	2048
419	1463670216881148	8.380096	50	2048
420	1463670216901221	8.400169	50	2048
421	1463670216921151	8.420099	50	2048
422	1463670216941183	8.440131	50	2048
423	1463670216961160	8.460108	50	2048
424	1463670216981160	8.480108	50	2048
425	1463670217001168	8.500116	50	2048
426	1463670217021222	8.520170	50	2048
427	1463670217041148	8.540096	50	2048
428	1463670217061177	8.560125	50	2048
429	1463670217081170	8.580118	50	2048
430	1463670217101186	8.600134	50	2048
431	1463670217121166	8.620114	50	2048
432	1463670217141221	8.640169	50	2048
433	1463670217161209	8.660157	50	2048
434	1463670217181188	8.680136	50	2048
435	1463670217201166	8.700114	50	2048
436	1463670217221173	8.720121	50	2048
437	1463670217241163	8.740111	50	2048
438	1463670217261158	8.760106	50	2048
439	1463670217281156	8.780104	50	2048
440	1463670217301218	8.800166	50	2048
441	1463670217321166	8.820114	50	2048
442	1463670217341185	8.840133	50	2048
443	1463670217361150	8.860098	50	2048
444	1463670217381201	8.880149	50	2048
445	1463670217401167	8.900115	50	2048
446	1463670217421149	8.920097	50	2048
447	1463670217441162	8.940110	50	2048
448	1463670217461230	8.960178	50	2048
449	1463670217481149	8.980097	50	2048
450	1463670217501224	9.000172	50	2048
451	1463670217521165	9.020113	50	2048
452	1463670217541187	9.040135	50	2048
453	1463670217561166	9.060114	50	2048
454	1463670217581152	9.080100	50	2048
455	1463670217601167	9.100115	50	2048
456	1463670217621224	9.120172	50	2048
457	1463670217641164	9.140112	50	2048
458	1463670217661223	9.160171	50	2048
459	1463670217681157	9.180105	50	2048
460	1463670217701160	9.200108	50	2048
461	1463670217721164	9.220112	50	2048
462	1463670217741181	9.240129	50	2048
463	1463670217761167	9.260115	50	2048
464	1463670217781177	9.280125	50	2048
465	1463670217801164	9.300112	50	2048
466	1463670217821222	9.320170	50	2048
467	1463670217841169	9.340117	50	2048
468	1463670217861173	9.360121	50	2048
469	1463670217881163	9.380111	50	2048
470	1463670217901221	9.400169	50	2048
471	1463670217921165	9.420113	50	2048
472	1463670217941188	9.440136	50	2048
473	1463670217961178	9.460126	50	2048
474	1463670217981168	9.480116	50	2048
475	1463670218001193	9.500141	50	2048
476	1463670218021223	9.520171	50	2048
477	1463670218041196	9.540144	50	2048
478	1463670218061189	9.560137	50	2048
479	1463670218081199	9.580147	50	2048
480	1463670218101188	9.600136	50	2048
481	1463670218121199	9.620147	50	2048
482	1463670218141187	9.640135	50	2048
483	1463670218161198	9.660146	50	2048
484	1463670218181166	9.680114	50	2048
485	1463670218201116	9.700064	50	2048
486	1463670218221211	9.720159	50	2048
487	1463670218241201	9.740149	50	2048
488	1463670218261235	9.760183	50	2048
489	1463670218281227	9.780175	50	2048
490	1463670218301193	9.800141	50	2048
491	1463670218321183	9.820131	50	2048
492	1463670218341180	9.840128	50	2048
493	1463670218361151	9.860099	50	2048
494	1463670218381184	9.880132	50	2048
495	1463670218401165	9.900113	50	2048
496	1463670218421159	9.920107	50	2048
497	1463670218441147	9.940095	50	2048
498	1463670218461192	9.960140	50	2048
499	1463670218481185	9.980133	50	2048
